A0A010QZW2	EXF82070.1
A0A010R2N4	EXF74521.1
A0A010R5X2	EXF75611.1
A0A010SE20	EXF91465.1
A0A010ZRK5	EXG79842.1
A0A011MHR1	EXI61991.1
A0A011MUT8	EXI66361.1
A0A011P381	EXI89418.1
A0A011Q810	EXI74814.1
A0A011QGC1	EXI77869.1
A0A011QV36	EXI92970.1
A0A011TH04	EXL03222.1
A0A011TH04	TDR33659.1
A0A011V0T7	EXL02035.1
A0A011V0T7	KAB2735739.1
A0A011WU32	EXM40485.1
A0A013WTE9	EXS69423.1
A0A014L989	EXU65951.1
A0A014MTJ6	EXU64935.1
A0A014NMP2	EXU75100.1
A0A014P5D0	EXU97493.1
A0A014QWB8	EXU98284.1
A0A015KYX5	EXX92148.1
A0A015MTC7	EXX69998.1
A0A015MTC7	EXX74540.1
A0A015P5T2	EXX91319.1
A0A016QTT1	EYB69515.1
A0A016UDD2	EYC13344.1
A0A016UEP3	EYC13342.1
A0A016UFE1	EYC13343.1
A0A017HFE3	EYD72888.1
A0A017S7K0	EYE92135.1
A0A017S942	EYE93346.1
A0A017SA13	EYE93777.1
A0A017SBE3	EYE94363.1
A0A021WZX8	EYR78621.1
A0A022FW15	EYS87450.1
A0A022GCK6	EYS93235.1
A0A022GDM0	EYS93262.1
A0A022MI90	EYT81619.1
A0A022MMF7	EYT82483.1
A0A022MN57	EYT82230.1
A0A022MTF0	EYT84633.1
A0A022NAG3	EYT94657.1
A0A022PGH7	EYU15242.1
A0A022Q6K5	EYU22858.1
A0A022QKP3	EYU28501.1
A0A022QNI4	EYU30272.1
A0A022R063	EYU33304.1
A0A022VZJ8	EZF51384.1
A0A022W109	EZF51924.1
A0A022XQR3	EZF72658.1
A0A022XS50	EZF73116.1
A0A023BBY6	EZG81488.1
A0A023CR18	EZP78091.1
A0A023DB96	GAJ38593.1
A0A023EIV9	JAC08896.1
A0A023F9X6	JAC18282.1
A0A023FHV0	JAC20694.1
A0A023LDW3	CAD7363362.1
A0A023LDW3	EFB1715913.1
A0A023LDW3	EFC7623467.1
A0A023LDW3	EFF7916144.1
A0A023LDW3	EFG7940303.1
A0A023LDW3	EFH3104997.1
A0A023LDW3	EFL6007739.1
A0A023LDW3	EFL9681855.1
A0A023LDW3	EGO4707995.1
A0A023LDW3	MHT27217.1
A0A023LDW3	MLY02083.1
A0A023LDW3	OTE53529.1
A0A023LDW3	OTE61814.1
A0A023LDW3	PAZ68031.1
A0A023LDW3	PDV46226.1
A0A023LDW3	PZT64431.1
A0A023LDW3	QLN27040.1
A0A023LDW3	QMO42931.1
A0A023LDW3	QPR14295.1
A0A023LDW3	STM06230.1
A0A023LDW3	TJQ15087.1
A0A023WN88	AHY41451.1
A0A023WZV6	AHY45300.1
A0A023XH83	AHY51536.1
A0A024BYJ5	AHZ26062.1
A0A024C9U6	AHZ27455.1
A0A024C9U6	AVH01118.1
A0A024C9U6	AZL52898.1
A0A024C9U6	KAA6498177.1
A0A024C9U6	KAA6505669.1
A0A024C9U6	KEY39182.1
A0A024C9U6	KHL84374.1
A0A024C9U6	KHL86427.1
A0A024C9U6	KNE05149.1
A0A024C9U6	MUU19679.1
A0A024C9U6	MUU40676.1
A0A024C9U6	MUU45380.1
A0A024C9U6	OOC31088.1
A0A024C9U6	OOP82411.1
A0A024C9U6	OOP84694.1
A0A024C9U6	OOP84974.1
A0A024C9U6	OOP92979.1
A0A024C9U6	OOP96517.1
A0A024C9U6	OOP98554.1
A0A024C9U6	OOQ07121.1
A0A024C9U6	OOQ23060.1
A0A024C9U6	OOQ40049.1
A0A024C9U6	OPG25153.1
A0A024C9U6	OPG52994.1
A0A024C9U6	OPG60492.1
A0A024C9U6	PDW26781.1
A0A024C9U6	PDW29455.1
A0A024C9U6	PDW31610.1
A0A024C9U6	PDW67558.1
A0A024C9U6	PDW77474.1
A0A024C9U6	PDW99211.1
A0A024C9U6	PDX00288.1
A0A024C9U6	PDX01203.1
A0A024C9U6	PDX07035.1
A0A024C9U6	PDX14803.1
A0A024C9U6	PDX26393.1
A0A024C9U6	PDX29427.1
A0A024C9U6	PDX47932.1
A0A024C9U6	PUD13015.1
A0A024C9U6	PUD49796.1
A0A024C9U6	PUD51055.1
A0A024C9U6	PUD65594.1
A0A024C9U6	PUD80297.1
A0A024C9U6	PUD80887.1
A0A024C9U6	QDY52710.1
A0A024C9U6	QDY54201.1
A0A024C9U6	QDY58596.1
A0A024C9U6	QEF21453.1
A0A024C9U6	QEF41588.1
A0A024C9U6	RKV12120.1
A0A024C9U6	RKV19913.1
A0A024C9U6	RKV24022.1
A0A024C9U6	RKV28462.1
A0A024C9U6	RKV44378.1
A0A024C9U6	RKV56424.1
A0A024C9U6	RKV57960.1
A0A024C9U6	RKV60965.1
A0A024C9U6	RPF67895.1
A0A024C9U6	RVY10842.1
A0A024C9U6	RVY24417.1
A0A024C9U6	RVY28003.1
A0A024C9U6	RVY30977.1
